Request_ID,Request_received_at,Req.created_at,Request_candidate_starts_working_at,Request_closed_at,Request_Client_ID,Request_Unit_ID,Request_User_ID,Application_ID,Application_candidate_ID,Application_log_ID,Application_log_created_at,Application_log_closed_at,Application_log_status_name,Application_log_status_bucket_name,Application_log.rejection_reason,Application_log.rejection_subreason,Application_log.withdrawal_reason
11,2022-10-29,2022-10-29 14:31:49,2022-11-09,2022-11-12 23:59:00,96,15,64,45281,25978,31605,2022-11-05 12:59:43,2022-11-05 12:59:43,No respons,Pre screening,vacancy,vacancy_filled,
11,2022-10-29,2022-10-29 14:31:49,2022-11-09,2022-11-12 23:59:00,96,15,64,46971,220,128714,2022-11-02 16:20:22,2022-11-02 16:20:22,No respons,Pre screening,personality,motivation,
11,2022-10-29,2022-10-29 14:31:49,2022-11-09,2022-11-12 23:59:00,96,15,64,47628,2482,110146,2022-11-02 15:31:51,2022-11-02 15:31:51,No respons,Pre screening,accessibility,unable_to_reach,
11,2022-10-29,2022-10-29 14:31:49,2022-11-09,2022-11-12 23:59:00,96,15,64,47628,2482,56916,2022-11-05 12:44:36,2022-11-05 12:44:36,No respons,Pre screening,accessibility,unable_to_reach,
13,2022-11-06,2022-11-06 09:00:52,2022-11-19,2022-11-26 23:59:00,96,15,64,2553,6931,105576,2022-11-12 11:56:53,2022-11-12 11:56:53,No respons,Pre screening,accessibility,unable_to_reach,
13,2022-11-06,2022-11-06 09:00:52,2022-11-19,2022-11-26 23:59:00,96,15,64,2979,9161,1890,2022-11-13 13:29:29,2022-11-13 13:29:29,No respons,Pre screening,availability,other,
13,2022-11-06,2022-11-06 09:00:52,2022-11-19,2022-11-26 23:59:00,96,15,64,5287,4101,76538,2022-11-13 13:22:06,2022-11-13 13:22:06,No respons,Pre screening,accessibility,unable_to_reach,
13,2022-11-06,2022-11-06 09:00:52,2022-11-19,2022-11-26 23:59:00,96,15,64,6334,14722,3356,2022-11-17 13:54:55,2022-11-17 13:54:55,No respons,Pre screening,vacancy,vacancy_filled,
13,2022-11-06,2022-11-06 09:00:52,2022-11-19,2022-11-26 23:59:00,96,15,64,6354,18139,27169,2022-11-17 13:48:52,2022-11-17 13:48:52,No respons,Pre screening,vacancy,vacancy_withdrawn,
13,2022-11-06,2022-11-06 09:00:52,2022-11-19,2022-11-26 23:59:00,96,15,64,7165,21829,104185,2022-11-16 13:42:14,2022-11-16 13:42:14,No respons,Pre screening,accessibility,unable_to_reach,
